Lukash_Money,0.27,0.46,0,0,0,0,0.06,0.2,0.01,0
mashy2,0.15,0.71,0,0,0,0.04,0.05,0.02,0,0.01
_chellllle,0.71,0,0,0,0,0,0,0.29,0,0
cathyca_,0.05,0.04,0.03,0.01,0.22,0,0.53,0,0.12,0
KINGPIZZ,0.4,0.2,0,0,0,0,0.03,0.36,0,0
David_Nagy13,0.08,0.9,0,0,0,0,0,0.02,0,0
AREONE27,0,0.4,0,0,0.01,0,0.05,0.55,0,0
xdaisy425x,0.95,0,0,0,0,0,0,0.05,0,0
LokilAQW,0.28,0.23,0,0,0,0.21,0.24,0.03,0.01,0
Alex_Siber,0.35,0.35,0.02,0,0,0.01,0.03,0.15,0.06,0
ettbrowneyes,0.65,0.29,0,0,0,0,0,0.03,0.01,0.01
wgarrido_,0,0.03,0.02,0,0.95,0,0,0,0,0
Savosaurus,0.63,0.13,0.02,0,0,0,0.13,0.01,0.08,0
therealCG502,0.21,0.72,0,0.06,0,0,0,0,0,0
margweston,0.04,0.03,0,0,0,0,0.55,0,0.36,0
_Farad,0.57,0,0.04,0.37,0,0,0,0.01,0,0.01
rofesta,0,0,0,0,1.0,0,0,0,0,0
Privitheus,0.03,0.7,0.04,0.2,0,0,0,0,0,0.02
gracianana,0.51,0,0.03,0.44,0,0,0,0,0,0.02
hawaiiianlion,0.68,0.03,0,0,0,0,0.02,0.26,0,0
FlockWithFlacko,0.31,0.11,0,0,0,0,0.02,0.53,0.02,0
jennamzh,0.98,0,0,0,0,0,0,0,0,0
ShaeMallory,0.84,0,0,0,0,0,0,0.16,0,0
iiFucked_Swagg,0.41,0,0,0,0,0,0,0.59,0,0
_anggithartiwi,0,0.03,0.05,0.13,0,0.02,0.03,0,0,0.74
MerabGro,0.14,0,0,0,0.84,0,0,0,0,0.02
dickclucas,0.27,0.16,0,0.02,0,0,0.44,0.02,0.09,0
syphm1,0.75,0.06,0,0.1,0,0,0,0.09,0,0
Ary_Bacardi,0.23,0.08,0,0,0,0,0,0.69,0,0
hkky49mi,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03
AyyCeci,0.67,0.04,0.02,0,0,0,0.02,0.23,0.02,0
SneakerDorian,0.29,0.02,0,0,0,0,0,0.68,0,0
Prosperos_isle,0.19,0.28,0,0,0,0,0.02,0,0.48,0.04
Rikuninchen,0.25,0.24,0.03,0.02,0,0.3,0.13,0.01,0,0
K9DoodiePatolr,0.08,0.45,0.02,0,0,0,0.21,0.05,0.19,0
DFK007,0.16,0.46,0,0,0,0,0.33,0,0.04,0
AnaR915,0.47,0.31,0.01,0,0,0,0,0.04,0,0.16
davidsting414,0.04,0.25,0.02,0,0,0.03,0.39,0,0.25,0
CANNIBOOTY,0.86,0.03,0.04,0,0,0,0.04,0,0.01,0
FereshtehEmami,0.24,0.61,0,0,0,0,0.12,0,0.03,0
M4D31YN,0.75,0.23,0,0,0,0,0.01,0,0,0
_wadem,0.08,0.68,0,0,0,0,0.15,0,0.07,0.02
mightyreds,0,1.0,0,0,0,0,0,0,0,0
PabloScordo1,0,0.06,0,0,0.61,0,0.19,0,0.14,0
nextto16,0.65,0,0.27,0,0,0,0,0.08,0,0
Faklasher,0.58,0.17,0,0.02,0,0,0.14,0.05,0.02,0
Seandonovan94,0.1,0.08,0.02,0,0,0.71,0.06,0,0,0
JLee_Hadley,0.56,0.12,0,0,0,0,0.02,0.3,0,0
ceeyoutea,0.85,0.07,0,0,0,0,0.01,0.01,0.03,0.02
MCNtweets,0.3,0.41,0,0,0,0,0.21,0,0.05,0
skkelley_17,0.96,0.03,0,0,0,0,0,0,0,0
abcdefgayy,0.88,0,0,0,0,0,0,0.11,0,0
demihomo,0.75,0.06,0.01,0.02,0,0,0.07,0,0.05,0.03
LuciDeacon,1.0,0,0,0,0,0,0,0,0,0
Tony_Jorden,0.99,0,0,0,0,0,0,0,0,0
tasha_amy92,0.7,0.23,0,0,0,0,0,0.04,0.01,0
CajsaJacobsen,0.67,0.16,0.03,0,0,0.06,0,0,0,0.07
Ellie_Macintyre,0.69,0.26,0,0,0,0,0.02,0,0.02,0
TayelfylorKloss,0.41,0.11,0.38,0,0,0.01,0,0.03,0,0.04
daddylyrical,0.15,0,0,0,0,0,0,0.85,0,0
firripwang,0.28,0.07,0,0,0,0,0.02,0.63,0,0
IamCj005,0.04,0.67,0,0,0,0,0.19,0,0,0.09
Mw2Alsaif,0,0,0,0,0,1.0,0,0,0,0
OutSpoken_PB,0.58,0,0,0.09,0,0,0,0.32,0,0
stephengood08,0.24,0.76,0,0,0,0,0,0,0,0
temporlarriefix,0.56,0,0.4,0.04,0,0,0,0,0,0
OhHi_ImDamoo,0.57,0,0,0,0,0,0,0.42,0,0
wtvmollie,0.79,0,0.01,0,0,0.01,0.12,0.05,0.02,0
PureSoccerTV,0,0.91,0,0,0,0,0.09,0,0,0
EServanF,0.17,0.22,0,0.02,0.39,0.01,0.16,0,0,0.02
hidayahaha,0.27,0,0,0.73,0,0,0,0,0,0
Ank_yuma1209,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.05,0.05
CiscoEngineers,0,0.16,0,0.02,0,0,0.64,0,0.17,0
ontarioweeds,0.58,0,0.04,0,0,0,0,0.3,0,0.08
kina_yanae15,0.54,0,0,0,0,0,0,0.46,0,0
wssx_,0.49,0,0.02,0,0.02,0.01,0.07,0.03,0,0.36
opalitetears,0.75,0,0,0,0,0,0,0.23,0,0
jaileneeeeee_,0.77,0,0,0,0,0,0,0.23,0,0
WhitneyEricksen,1.0,0,0,0,0,0,0,0,0,0
nmpanek,0.13,0.2,0.02,0,0,0,0.25,0,0.39,0
samacharsar,0,0,0,0,0,0,0.85,0.14,0,0
bxndhearts,0.59,0.02,0.28,0,0,0,0,0.1,0,0.01
Jag3Dagster,0.46,0.37,0,0,0,0.03,0.1,0,0.03,0
NotMyMoney_,0.07,0.11,0,0.01,0,0,0.77,0,0.02,0
MeLza_17,0,0.96,0,0.02,0,0.02,0,0,0,0
SevenEasyWays,0,0.88,0,0,0,0,0,0,0.12,0
RaceLies,0,0,0,0,0.33,0,0.58,0.08,0,0
TikeGooden,0.13,0.8,0,0,0,0,0,0.07,0,0
CheennyC,0.6,0,0,0,0,0,0,0,0,0.38
_NYOx,0.41,0,0.03,0.49,0,0,0,0.07,0,0
wheresmyCARlos,0.53,0.33,0,0,0,0,0.02,0.12,0,0
WlassM,0,0,0.18,0,0.78,0,0,0,0,0
Saamhmz,0,0,1.0,0,0,0,0,0,0,0
owen_main,0.25,0.74,0,0,0,0,0,0.02,0,0
ARTORICAL,0.12,0.37,0.05,0,0,0.01,0.32,0,0.09,0.02
