id,class,userId,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,NN,mashy2,0.15,0.71,0,0,0,0.04,0.05,0.02,0,0.01,cluster0
1,NN,_chellllle,0.71,0,0,0,0,0,0,0.29,0,0,cluster3
2,NN,cathyca_,0.05,0.04,0.03,0.01,0.22,0,0.53,0,0.12,0,cluster4
3,N,KINGPIZZ,0.4,0.2,0,0,0,0,0.03,0.36,0,0,cluster3
4,NN,David_Nagy13,0.08,0.9,0,0,0,0,0,0.02,0,0,cluster0
5,N,AREONE27,0,0.4,0,0,0.01,0,0.05,0.55,0,0,cluster2
6,NN,xdaisy425x,0.95,0,0,0,0,0,0,0.05,0,0,cluster3
7,NN,LokilAQW,0.28,0.23,0,0,0,0.21,0.24,0.03,0.01,0,cluster4
8,NN,Alex_Siber,0.35,0.35,0.02,0,0,0.01,0.03,0.15,0.06,0,cluster0
9,NN,ettbrowneyes,0.65,0.29,0,0,0,0,0,0.03,0.01,0.01,cluster3
10,NN,wgarrido_,0,0.03,0.02,0,0.95,0,0,0,0,0,cluster1
11,NN,Savosaurus,0.63,0.13,0.02,0,0,0,0.13,0.01,0.08,0,cluster0
12,NN,therealCG502,0.21,0.72,0,0.06,0,0,0,0,0,0,cluster0
13,NN,margweston,0.04,0.03,0,0,0,0,0.55,0,0.36,0,cluster0
14,NN,_Farad,0.57,0,0.04,0.37,0,0,0,0.01,0,0.01,cluster4
15,NN,rofesta,0,0,0,0,1,0,0,0,0,0,cluster1
16,NN,Privitheus,0.03,0.7,0.04,0.2,0,0,0,0,0,0.02,cluster4
17,NN,gracianana,0.51,0,0.03,0.44,0,0,0,0,0,0.02,cluster4
18,NN,hawaiiianlion,0.68,0.03,0,0,0,0,0.02,0.26,0,0,cluster3
19,N,FlockWithFlacko,0.31,0.11,0,0,0,0,0.02,0.53,0.02,0,cluster2
20,NN,jennamzh,0.98,0,0,0,0,0,0,0,0,0,cluster3
21,NN,ShaeMallory,0.84,0,0,0,0,0,0,0.16,0,0,cluster3
22,N,iiFucked_Swagg,0.41,0,0,0,0,0,0,0.59,0,0,cluster2
23,NN,_anggithartiwi,0,0.03,0.05,0.13,0,0.02,0.03,0,0,0.74,cluster4
24,NN,MerabGro,0.14,0,0,0,0.84,0,0,0,0,0.02,cluster1
25,NN,dickclucas,0.27,0.16,0,0.02,0,0,0.44,0.02,0.09,0,cluster0
26,NN,syphm1,0.75,0.06,0,0.1,0,0,0,0.09,0,0,cluster3
27,N,Ary_Bacardi,0.23,0.08,0,0,0,0,0,0.69,0,0,cluster2
28,N,hkky49mi,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,0.03,0.03,cluster2
29,NN,AyyCeci,0.67,0.04,0.02,0,0,0,0.02,0.23,0.02,0,cluster3
30,N,SneakerDorian,0.29,0.02,0,0,0,0,0,0.68,0,0,cluster2
31,NN,Prosperos_isle,0.19,0.28,0,0,0,0,0.02,0,0.48,0.04,cluster4
32,NN,Rikuninchen,0.25,0.24,0.03,0.02,0,0.3,0.13,0.01,0,0,cluster4
33,NN,K9DoodiePatolr,0.08,0.45,0.02,0,0,0,0.21,0.05,0.19,0,cluster0
34,NN,DFK007,0.16,0.46,0,0,0,0,0.33,0,0.04,0,cluster0
35,NN,AnaR915,0.47,0.31,0.01,0,0,0,0,0.04,0,0.16,cluster3
36,NN,davidsting414,0.04,0.25,0.02,0,0,0.03,0.39,0,0.25,0,cluster0
37,NN,CANNIBOOTY,0.86,0.03,0.04,0,0,0,0.04,0,0.01,0,cluster3
38,NN,FereshtehEmami,0.24,0.61,0,0,0,0,0.12,0,0.03,0,cluster0
39,NN,M4D31YN,0.75,0.23,0,0,0,0,0.01,0,0,0,cluster3
40,NN,_wadem,0.08,0.68,0,0,0,0,0.15,0,0.07,0.02,cluster0
41,NN,mightyreds,0,1,0,0,0,0,0,0,0,0,cluster0
42,NN,PabloScordo1,0,0.06,0,0,0.61,0,0.19,0,0.14,0,cluster1
43,NN,nextto16,0.65,0,0.27,0,0,0,0,0.08,0,0,cluster4
44,NN,Faklasher,0.58,0.17,0,0.02,0,0,0.14,0.05,0.02,0,cluster0
45,NN,Seandonovan94,0.1,0.08,0.02,0,0,0.71,0.06,0,0,0,cluster4
46,NN,JLee_Hadley,0.56,0.12,0,0,0,0,0.02,0.3,0,0,cluster3
47,NN,ceeyoutea,0.85,0.07,0,0,0,0,0.01,0.01,0.03,0.02,cluster3
48,NN,MCNtweets,0.3,0.41,0,0,0,0,0.21,0,0.05,0,cluster0
49,NN,skkelley_17,0.96,0.03,0,0,0,0,0,0,0,0,cluster3
50,NN,abcdefgayy,0.88,0,0,0,0,0,0,0.11,0,0,cluster3
51,NN,demihomo,0.75,0.06,0.01,0.02,0,0,0.07,0,0.05,0.03,cluster0
52,NN,LuciDeacon,1,0,0,0,0,0,0,0,0,0,cluster3
53,NN,Tony_Jorden,0.99,0,0,0,0,0,0,0,0,0,cluster3
54,NN,tasha_amy92,0.7,0.23,0,0,0,0,0,0.04,0.01,0,cluster3
55,NN,CajsaJacobsen,0.67,0.16,0.03,0,0,0.06,0,0,0,0.07,cluster2
56,NN,Ellie_Macintyre,0.69,0.26,0,0,0,0,0.02,0,0.02,0,cluster3
57,NN,TayelfylorKloss,0.41,0.11,0.38,0,0,0.01,0,0.03,0,0.04,cluster4
58,N,daddylyrical,0.15,0,0,0,0,0,0,0.85,0,0,cluster2
59,N,firripwang,0.28,0.07,0,0,0,0,0.02,0.63,0,0,cluster2
60,NN,IamCj005,0.04,0.67,0,0,0,0,0.19,0,0,0.09,cluster0
61,NN,Mw2Alsaif,0,0,0,0,0,1,0,0,0,0,cluster4
62,NN,OutSpoken_PB,0.58,0,0,0.09,0,0,0,0.32,0,0,cluster3
63,NN,stephengood08,0.24,0.76,0,0,0,0,0,0,0,0,cluster0
64,NN,temporlarriefix,0.56,0,0.4,0.04,0,0,0,0,0,0,cluster4
65,N,OhHi_ImDamoo,0.57,0,0,0,0,0,0,0.42,0,0,cluster3
